Date,^GDAXI,^GSPC,^N225
2019-01-02,10580.1904296875,2510.030029296875,
2019-01-03,10416.66015625,2447.889892578125,
2019-01-04,10767.6904296875,2531.93994140625,19561.9609375
2019-01-07,10747.8095703125,2549.68994140625,20038.970703125
2019-01-08,10803.98046875,2574.409912109375,20204.0390625
2019-01-09,10893.3203125,2584.9599609375,20427.060546875
2019-01-10,10921.58984375,2596.639892578125,20163.80078125
2019-01-11,10887.4599609375,2596.260009765625,20359.69921875
2019-01-14,10855.91015625,2582.610107421875,
2019-01-15,10891.7900390625,2610.300048828125,20555.2890625
2019-01-16,10931.240234375,2616.10009765625,20442.75
2019-01-17,10918.6201171875,2635.9599609375,20402.26953125
2019-01-18,11205.5400390625,2670.7099609375,20666.0703125
2019-01-21,11136.2001953125,,20719.330078125
2019-01-22,11090.1103515625,2632.89990234375,20622.91015625
2019-01-23,11071.5400390625,2638.699951171875,20593.720703125
2019-01-24,11130.1796875,2642.330078125,20574.630859375
2019-01-25,11281.7900390625,2664.760009765625,20773.560546875
2019-01-28,11210.3095703125,2643.85009765625,20649.0
2019-01-29,11218.830078125,2640.0,20664.640625
2019-01-30,11181.66015625,2681.050048828125,20556.5390625
2019-01-31,11173.099609375,2704.10009765625,20773.490234375
2019-02-01,11180.66015625,2706.530029296875,20788.390625
2019-02-04,11176.580078125,2724.8701171875,20883.76953125
2019-02-05,11367.98046875,2737.699951171875,20844.44921875
2019-02-06,11324.7197265625,2731.610107421875,20874.060546875
2019-02-07,11022.01953125,2706.050048828125,20751.279296875
2019-02-08,10906.7802734375,2707.8798828125,20333.169921875
2019-02-11,11014.58984375,2709.800048828125,
2019-02-12,11126.080078125,2744.72998046875,20864.2109375
2019-02-13,11167.2197265625,2753.030029296875,21144.48046875
2019-02-14,11089.7900390625,2745.72998046875,21139.7109375
2019-02-15,11299.7998046875,2775.60009765625,20900.630859375
2019-02-18,11299.2001953125,,21281.849609375
2019-02-19,11309.2099609375,2779.760009765625,21302.650390625
2019-02-20,11401.9697265625,2784.699951171875,21431.490234375
2019-02-21,11423.2802734375,2774.8798828125,21464.23046875
2019-02-22,11457.7001953125,2792.669921875,21425.509765625
2019-02-25,11505.3896484375,2796.110107421875,21528.23046875
2019-02-26,11540.7900390625,2793.89990234375,21449.390625
2019-02-27,11487.330078125,2792.3798828125,21556.509765625
2019-02-28,11515.6396484375,2784.489990234375,21385.16015625
2019-03-01,11601.6796875,2803.68994140625,21602.689453125
2019-03-04,11592.66015625,2792.81005859375,21822.0390625
2019-03-05,11620.740234375,2789.64990234375,21726.279296875
2019-03-06,11587.6298828125,2771.449951171875,21596.810546875
2019-03-07,11517.7998046875,2748.929931640625,21456.009765625
2019-03-08,11457.83984375,2743.070068359375,21025.560546875
2019-03-11,11543.48046875,2783.300048828125,21125.08984375
2019-03-12,11524.169921875,2791.52001953125,21503.689453125
2019-03-13,11572.41015625,2810.919921875,21290.240234375
2019-03-14,11587.4697265625,2808.47998046875,21287.01953125
2019-03-15,11685.6904296875,2822.47998046875,21450.849609375
2019-03-18,11657.0595703125,2832.93994140625,21584.5
2019-03-19,11788.41015625,2832.570068359375,21566.849609375
2019-03-20,11603.8896484375,2824.22998046875,21608.919921875
2019-03-21,11549.9599609375,2854.8798828125,
2019-03-22,11364.169921875,2800.7099609375,21627.33984375
2019-03-25,11346.650390625,2798.360107421875,20977.109375
2019-03-26,11419.48046875,2818.4599609375,21428.390625
2019-03-27,11419.0400390625,2805.3701171875,21378.73046875
2019-03-28,11428.16015625,2815.43994140625,21033.759765625
2019-03-29,11526.0400390625,2834.39990234375,21205.810546875
2019-04-01,11681.990234375,2867.18994140625,21509.029296875
2019-04-02,11754.7900390625,2867.239990234375,21505.310546875
2019-04-03,11954.400390625,2873.39990234375,21713.2109375
2019-04-04,11988.009765625,2879.389892578125,21724.94921875
2019-04-05,12009.75,2892.739990234375,21807.5
2019-04-08,11963.400390625,2895.77001953125,21761.650390625
2019-04-09,11850.5703125,2878.199951171875,21802.58984375
2019-04-10,11905.91015625,2888.2099609375,21687.5703125
2019-04-11,11935.2001953125,2888.320068359375,21711.380859375
2019-04-12,11999.9296875,2907.409912109375,21870.560546875
2019-04-15,12020.2802734375,2905.580078125,22169.109375
2019-04-16,12101.3203125,2907.06005859375,22221.66015625
2019-04-17,12153.0703125,2900.449951171875,22277.970703125
2019-04-18,12222.3896484375,2905.030029296875,22090.119140625
2019-04-19,,,22200.560546875
2019-04-22,,2907.969970703125,22217.900390625
2019-04-23,12235.509765625,2933.679931640625,22259.740234375
2019-04-24,12313.16015625,2927.25,22200.0
2019-04-25,12282.599609375,2926.169921875,22307.580078125
2019-04-26,12315.1796875,2939.8798828125,22258.73046875
2019-04-29,12328.01953125,2943.030029296875,
2019-04-30,12344.080078125,2945.830078125,
2019-05-01,,2923.72998046875,
2019-05-02,12345.419921875,2917.52001953125,
2019-05-03,12412.75,2945.639892578125,
2019-05-06,12286.8798828125,2932.469970703125,
2019-05-07,12092.740234375,2884.050048828125,21923.720703125
2019-05-08,12179.9296875,2879.419921875,21602.58984375
2019-05-09,11973.919921875,2870.719970703125,21402.130859375
2019-05-10,12059.830078125,2881.39990234375,21344.919921875
2019-05-13,11876.650390625,2811.8701171875,21191.279296875
2019-05-14,11991.6201171875,2834.409912109375,21067.23046875
2019-05-15,12099.5703125,2850.9599609375,21188.560546875
2019-05-16,12310.3701171875,2876.320068359375,21062.98046875
2019-05-17,12238.9404296875,2859.530029296875,21250.08984375
2019-05-20,12041.2900390625,2840.22998046875,21301.73046875
2019-05-21,12143.4697265625,2864.360107421875,21272.44921875
2019-05-22,12168.740234375,2856.27001953125,21283.369140625
2019-05-23,11952.41015625,2822.239990234375,21151.140625
2019-05-24,12011.0400390625,2826.06005859375,21117.220703125
2019-05-27,12071.1796875,,21182.580078125
2019-05-28,12027.0498046875,2802.389892578125,21260.140625
2019-05-29,11837.8095703125,2783.02001953125,21003.369140625
2019-05-30,11902.080078125,2788.860107421875,20942.529296875
